diag_1,count,percentage
428,5242,6.78
414,4998,6.46
786,3088,3.99
410,2713,3.51
486,2669,3.45
427,2077,2.69
491,1744,2.25
715,1644,2.13
682,1562,2.02
780,1539,1.99
434,1533,1.98
996,1470,1.9
276,1453,1.88
250.8,1307,1.69
38,1249,1.61
599,1191,1.54
584,1184,1.53
V57,905,1.17
250.6,893,1.15
518,856,1.11
820,822,1.06
493,807,1.04
577,780,1.01
435,758,0.98
562,746,0.96
574,730,0.94
560,675,0.87
296,672,0.87
250.13,652,0.84
250.7,646,0.84
440,634,0.82
998,594,0.77
722,590,0.76
433,587,0.76
250.02,522,0.67
578,498,0.64
250.11,477,0.62
507,464,0.6
453,421,0.54
789,419,0.54
530,406,0.52
8,402,0.52
403,383,0.5
402,349,0.45
535,347,0.45
415,339,0.44
724,333,0.43
295,328,0.42
997,315,0.41
162,314,0.41
250.82,314,0.41
458,311,0.4
250.12,293,0.38
278,291,0.38
733,274,0.35
285,270,0.35
401,266,0.34
592,263,0.34
482,256,0.33
590,255,0.33
558,249,0.32
153,240,0.31
824,237,0.31
197,234,0.3
280,233,0.3
250.1,231,0.3
531,224,0.29
571,221,0.29
426,220,0.28
648,218,0.28
511,217,0.28
569,215,0.28
707,212,0.27
250.4,210,0.27
250,198,0.26
787,195,0.25
198,195,0.25
411,189,0.24
404,184,0.24
466,184,0.24
552,179,0.23
812,178,0.23
V58,175,0.23
730,173,0.22
572,171,0.22
532,167,0.22
575,159,0.21
557,155,0.2
250.03,154,0.2
540,153,0.2
600,153,0.2
805,151,0.2
250.81,144,0.19
424,139,0.18
436,137,0.18
331,136,0.18
185,135,0.17
721,131,0.17
444,122,0.16
618,122,0.16
431,120,0.16
564,116,0.15
250.22,115,0.15
386,115,0.15
784,114,0.15
348,113,0.15
536,113,0.15
174,113,0.15
790,109,0.14
398,106,0.14
808,104,0.13
515,100,0.13
728,100,0.13
821,98,0.13
823,98,0.13
553,98,0.13
441,97,0.13
189,93,0.12
218,92,0.12
188,91,0.12
681,87,0.11
157,86,0.11
294,86,0.11
537,85,0.11
443,85,0.11
292,84,0.11
781,84,0.11
182,82,0.11
413,82,0.11
593,82,0.11
202,81,0.1
211,81,0.1
250.2,81,0.1
729,80,0.1
459,79,0.1
345,79,0.1
852,79,0.1
487,76,0.1
785,74,0.1
250.83,73,0.09
437,73,0.09
154,72,0.09
250.41,72,0.09
654,72,0.09
576,72,0.09
346,71,0.09
490,71,0.09
300,71,0.09
274,71,0.09
291,71,0.09
432,70,0.09
807,69,0.09
288,68,0.09
595,68,0.09
455,68,0.09
425,68,0.09
626,67,0.09
79,65,0.08
438,65,0.08
290,65,0.08
726,65,0.08
250.42,64,0.08
287,64,0.08
813,63,0.08
566,63,0.08
723,62,0.08
782,58,0.07
416,57,0.07
V55,57,0.07
423,56,0.07
995,56,0.07
112,56,0.07
496,54,0.07
585,54,0.07
608,53,0.07
282,53,0.07
625,52,0.07
711,52,0.07
298,52,0.07
481,52,0.07
447,50,0.06
799,50,0.06
420,49,0.06
303,49,0.06
238,49,0.06
284,48,0.06
719,48,0.06
567,48,0.06
332,47,0.06
850,46,0.06
642,46,0.06
155,45,0.06
924,44,0.06
311,44,0.06
738,44,0.06
151,44,0.06
275,44,0.06
250.01,44,0.06
962,43,0.06
716,43,0.06
53,43,0.06
241,42,0.05
969,41,0.05
620,40,0.05
250.92,40,0.05
253,40,0.05
V54,40,0.05
V53,40,0.05
465,39,0.05
293,39,0.05
965,39,0.05
42,38,0.05
550,38,0.05
519,37,0.05
555,37,0.05
727,37,0.05
596,37,0.05
225,35,0.05
227,35,0.05
309,34,0.04
286,34,0.04
220,34,0.04
556,34,0.04
421,33,0.04
822,33,0.04
514,33,0.04
451,32,0.04
70,32,0.04
340,32,0.04
485,32,0.04
9,31,0.04
959,31,0.04
573,31,0.04
714,30,0.04
512,30,0.04
191,29,0.04
851,29,0.04
442,28,0.04
203,28,0.04
277,28,0.04
788,28,0.04
659,28,0.04
510,27,0.03
611,27,0.03
429,27,0.03
604,27,0.03
304,27,0.03
844,26,0.03
478,26,0.03
516,26,0.03
922,26,0.03
333,26,0.03
430,25,0.03
193,25,0.03
150,25,0.03
801,25,0.03
351,25,0.03
492,25,0.03
283,24,0.03
568,24,0.03
349,23,0.03
860,23,0.03
235,23,0.03
239,23,0.03
233,22,0.03
693,22,0.03
802,22,0.03
250.23,22,0.03
396,22,0.03
135,21,0.03
305,21,0.03
522,21,0.03
658,21,0.03
644,21,0.03
204,20,0.03
661,20,0.03
494,20,0.03
205,20,0.03
456,20,0.03
307,20,0.03
255,20,0.03
794,20,0.03
183,19,0.02
783,19,0.02
250.3,19,0.02
473,19,0.02
47,19,0.02
327,18,0.02
527,18,0.02
920,18,0.02
607,18,0.02
338,18,0.02
586,18,0.02
616,18,0.02
196,18,0.02
999,18,0.02
710,17,0.02
534,17,0.02
664,17,0.02
621,17,0.02
