feature,mean_abs_shap
encounter_id,0.028287080107946633
discharge_disposition_id,0.026620752548936893
patient_nbr,0.019086352696090384
total_utilization,0.00641120378686874
diag_2,0.0054796842461520825
emergency_inpatient_ratio,0.005120868803243396
diabetesMed,0.005076788538308056
admission_source_id,0.004670536266294893
number_diagnoses,0.004388644765303643
medical_specialty,0.0037029521988221886
race,0.0035714272806351872
number_inpatient,0.0035609741419277783
num_medications,0.003256235375172565
acute_utilization,0.0029394542194764936
is_missing__race,0.002820617640046055
age,0.0025750763231405533
diag_1_group,0.002530347383408632
pca_component_2,0.0025122581756915267
has_diabetes_diag,0.002391745077653063
weight,0.00225935349482353
med_lab_ratio,0.0022272441656915162
pca_component_1,0.0019546223942328365
payer_code,0.0019117416037867446
gender,0.0017476139710871196
pca_component_4,0.00173701216570205
lab_proc_ratio,0.0016532480733951992
diag_3_group,0.0016442633544405272
medications_per_day,0.0015980529650631865
med_no_count,0.0015669302169785463
weight_observed,0.0015545998682716378
age_mid,0.0015404086422037189
admission_type_id,0.0015131070071624385
complexity_index,0.0014941389672458152
diag_2_group,0.0014330864780479075
weight_missing_flag,0.0013689314429130796
pca_component_7,0.001244780279833959
diag_group_unique_count,0.0012415162356639367
pca_cluster,0.0012303845336039865
num_lab_procedures,0.001230250595620383
long_stay_flag,0.0012181764468550632
insulin,0.0012082423738859296
has_circulatory_diag,0.0010877863969653869
pca_component_3,0.0010807765820236173
med_steady_count,0.001061201888929915
pca_component_6,0.0010480266064405456
on_insulin_flag,0.0010477831259507813
is_missing__payer_code,0.0010295962328436229
number_outpatient,0.0010180677959902428
metformin,0.0009723616574235537
pca_component_5,0.0009310541208833491
pca_component_8,0.0008710891146350846
insulin_changed_flag,0.0008652445394545777
is_high_utilizer,0.0008478319117178499
num_procedures,0.0008419904754393592
diagnoses_per_day,0.0008010500955774871
A1Cresult,0.0007254141469106639
is_missing__medical_specialty,0.0006776173012676057
change,0.0006496039978055968
lab_per_day,0.0006142258385403277
time_in_hospital,0.0006021991354861748
is_missing__A1Cresult,0.0005893959249887198
A1Cresult_observed,0.0005505502103241461
treatment_intensity,0.0005499013544370742
has_respiratory_diag,0.0005391624894131103
glimepiride,0.0005271132621500231
pioglitazone,0.0004409383465018472
med_up_count,0.0003342686686664839
any_med_change_flag,0.00030672570035136906
weight_mid,0.00029988316991539
has_digestive_diag,0.0002868919616082207
glyburide,0.00024955497226781663
med_changed_count,0.00023317352558175532
med_down_count,0.00019244756549596746
very_long_stay_flag,0.00010369790510998793
diag_1,1.7246714087735013e-11
is_missing__diag_1,0.0
tolazamide,0.0
acarbose,0.0
miglitol,0.0
acetohexamide,0.0
nateglinide,0.0
max_glu_serum_observed,0.0
number_emergency,0.0
tolbutamide,0.0
glyburide-metformin,0.0
diag_3,0.0
rosiglitazone,0.0
repaglinide,0.0
is_missing__max_glu_serum,0.0
max_glu_serum,0.0
glipizide,0.0
chlorpropamide,0.0
is_missing__diag_2,0.0
is_missing__diag_3,0.0
